Region,Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Central America and the Caribbean,Grenada,Meat,2012-05-12,918334138,4334,421.89
Sub-Saharan Africa,Sao Tome and Principe,Meat,2014-03-28,386163699,3275,421.89
Central America and the Caribbean,El Salvador,Personal Care,2017-01-11,214743077,6103,81.73
Europe,Sweden,Baby Food,2015-06-21,935371100,5949,255.28
Asia,Turkmenistan,Cosmetics,2012-11-29,899659097,7974,437.2
Europe,Monaco,Vegetables,2010-01-01,329530894,4369,154.06
Middle East and North Africa,Turkey,Meat,2016-01-06,867222821,9359,421.89
Sub-Saharan Africa,Mozambique,Beverages,2014-10-14,625283706,4199,47.45
Middle East and North Africa,Yemen,Office Supplies,2013-12-09,936574876,2173,651.21
Asia,Philippines,Cereal,2010-10-19,504270160,3601,205.7
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,2011-05-02,351855885,830,81.73
Australia and Oceania,Fiji,Snacks,2011-03-17,673130881,3241,152.58
Europe,Macedonia,Office Supplies,2014-09-24,382206475,2244,651.21
Middle East and North Africa,"Tunisia ",Cereal,2015-12-01,263506495,6283,205.7
Europe,Liechtenstein,Cereal,2017-06-02,721767270,5829,205.7
Middle East and North Africa,Qatar,Cosmetics,2011-08-04,432037627,8390,437.2
Australia and Oceania,Tonga,Meat,2014-07-29,389678895,3499,421.89
Europe,Belgium,Meat,2017-01-26,760364902,7726,421.89
Sub-Saharan Africa,Chad,Fruits,2010-11-05,430081975,9669,9.33
Asia,Thailand,Baby Food,2015-03-26,155128943,4957,255.28
Europe,Iceland,Clothes,2012-10-07,312117135,1251,109.28
Central America and the Caribbean,Saint Lucia,Meat,2013-07-22,447970378,3245,421.89
Asia,Japan,Cosmetics,2013-08-16,629925000,7661,437.2
Asia,India,Personal Care,2013-11-05,995529830,8254,81.73
Australia and Oceania,Vanuatu,Office Supplies,2016-03-01,402646195,812,651.21
Sub-Saharan Africa,Chad,Meat,2012-03-25,479447925,8150,421.89
Sub-Saharan Africa,Malawi,Cosmetics,2017-06-20,674421346,5118,437.2
Europe,Finland,Cosmetics,2014-04-18,506365287,3596,437.2
Middle East and North Africa,Turkey,Clothes,2016-06-28,914391076,7494,109.28
Sub-Saharan Africa,South Africa,Meat,2012-05-20,207922542,7755,421.89
Europe,Lithuania,Office Supplies,2014-02-04,816696012,7353,651.21
Europe,Russia,Beverages,2015-11-15,740760314,6293,47.45
Central America and the Caribbean,The Bahamas,Baby Food,2013-01-11,300476777,6610,255.28
Central America and the Caribbean,The Bahamas,Snacks,2013-04-24,786519229,7373,152.58
Middle East and North Africa,Turkey,Cosmetics,2010-05-15,409873998,9679,437.2
Sub-Saharan Africa,"Mauritius ",Cosmetics,2010-04-17,151839911,1659,437.2
Europe,Bulgaria,Vegetables,2012-08-25,614028298,3473,154.06
Middle East and North Africa,Iran,Household,2014-04-19,668362987,2315,668.27
Sub-Saharan Africa,Ghana,Household,2013-02-26,607080304,7408,668.27
Sub-Saharan Africa,Malawi,Baby Food,2011-12-28,792729079,5006,255.28
Sub-Saharan Africa,Zimbabwe,Baby Food,2014-08-21,308170640,3395,255.28
Asia,Tajikistan,Vegetables,2014-08-21,106578814,7894,154.06
Europe,Czech Republic,Cereal,2014-03-02,761439931,5851,205.7
Sub-Saharan Africa,"Mauritius ",Household,2012-09-06,216552817,1646,668.27
Sub-Saharan Africa,Lesotho,Fruits,2010-09-16,536028802,1689,9.33
Sub-Saharan Africa,Mali,Beverages,2013-08-13,254291713,9424,47.45
Europe,Georgia,Personal Care,2012-09-11,226077878,323,81.73
Europe,Albania,Office Supplies,2011-08-31,476436126,6892,651.21
Europe,Cyprus,Cosmetics,2015-04-21,650727784,3667,437.2
Central America and the Caribbean,"Saint Kitts and Nevis ",Household,2010-07-11,464626681,2215,668.27
Middle East and North Africa,"Tunisia ",Meat,2015-08-09,154119145,6135,421.89
Central America and the Caribbean,Cuba,Meat,2015-10-17,925504004,6057,421.89
Australia and Oceania,Kiribati,Cereal,2012-07-24,905392587,4641,205.7
Asia,Cambodia,Snacks,2012-03-25,990708720,1581,152.58
Europe,"Moldova ",Baby Food,2014-08-11,798688733,8600,255.28
Asia,Uzbekistan,Cereal,2016-10-15,916881453,4452,205.7
Asia,India,Cosmetics,2016-12-03,653148210,9924,437.2
Europe,Germany,Personal Care,2010-06-12,285662829,2834,81.73
Europe,Austria,Vegetables,2016-07-29,612911641,3030,154.06
Europe,Germany,Office Supplies,2013-12-09,703693473,7391,651.21
Asia,Bhutan,Clothes,2012-07-12,147119653,4829,109.28
Asia,Kyrgyzstan,Fruits,2012-01-14,402614009,1287,9.33
Middle East and North Africa,Somalia,Personal Care,2013-03-20,749912869,4738,81.73
Central America and the Caribbean,Saint Lucia,Household,2014-02-10,539065062,186,668.27
Europe,Armenia,Snacks,2013-10-26,540431916,4668,152.58
North America,Canada,Beverages,2016-04-16,694687259,2252,47.45
Sub-Saharan Africa,Burundi,Cosmetics,2011-05-27,562817418,9036,437.2
Europe,Liechtenstein,Cereal,2016-08-04,676121222,8149,205.7
Middle East and North Africa,"Tunisia ",Snacks,2012-07-03,286210000,4754,152.58
Middle East and North Africa,Iraq,Beverages,2014-12-04,515007579,1042,47.45
Asia,Indonesia,Cosmetics,2010-05-31,304750287,1237,437.2
Asia,Kazakhstan,Beverages,2013-02-05,467986953,6594,47.45
Europe,Denmark,Beverages,2015-06-15,537578904,399,47.45
Europe,Luxembourg,Vegetables,2014-10-21,116699969,2969,154.06
Sub-Saharan Africa,Cape Verde,Snacks,2017-02-13,228836476,6653,152.58
Australia and Oceania,Palau,Vegetables,2010-06-29,167787253,832,154.06
Australia and Oceania,Australia,Vegetables,2014-05-19,647663629,6915,154.06
Central America and the Caribbean,Nicaragua,Meat,2015-03-21,652889430,3346,421.89
Asia,Laos,Office Supplies,2015-08-31,588200986,598,651.21
Central America and the Caribbean,Cuba,Personal Care,2015-08-23,928647124,6176,81.73
Europe,"Moldova ",Cosmetics,2016-02-24,869589173,9615,437.2
Middle East and North Africa,Syria,Household,2015-06-17,576700961,7485,668.27
Central America and the Caribbean,The Bahamas,Cereal,2012-11-27,735968816,8382,205.7
Europe,Belarus,Snacks,2012-09-07,303691565,7938,152.58
Middle East and North Africa,United Arab Emirates,Clothes,2012-06-23,556480538,3812,109.28
Sub-Saharan Africa,Angola,Beverages,2014-10-23,141259562,698,47.45
Central America and the Caribbean,Cuba,Cosmetics,2015-09-18,925264966,5320,437.2
Europe,Ukraine,Office Supplies,2016-01-24,346045577,1431,651.21
Sub-Saharan Africa,Mozambique,Fruits,2010-03-23,861462724,4818,9.33
Europe,Armenia,Personal Care,2012-07-26,499690234,8299,81.73
North America,Greenland,Clothes,2015-10-20,509214437,6722,109.28
Central America and the Caribbean,"Saint Kitts and Nevis ",Office Supplies,2017-06-27,408834159,1968,651.21
Europe,Vatican City,Beverages,2016-04-04,237660729,7946,47.45
Europe,Ukraine,Clothes,2015-08-05,105117976,5600,109.28
Sub-Saharan Africa,Niger,Cereal,2012-06-16,640942227,7903,205.7
Asia,Myanmar,Cosmetics,2016-04-03,745182311,4860,437.2
Sub-Saharan Africa,Guinea,Baby Food,2014-09-21,738199555,8508,255.28
Sub-Saharan Africa,Guinea-Bissau,Snacks,2015-08-08,110667788,7913,152.58
Sub-Saharan Africa,South Sudan,Office Supplies,2012-07-19,673573338,4174,651.21
Middle East and North Africa,Turkey,Snacks,2011-08-26,708215034,5421,152.58
Australia and Oceania,Palau,Household,2012-06-23,816204202,1816,668.27
Europe,Poland,Beverages,2011-11-20,769464671,550,47.45
Asia,Malaysia,Beverages,2015-05-13,860232770,848,47.45
North America,United States of America,Personal Care,2010-07-16,551057326,8963,81.73
Europe,Switzerland,Cosmetics,2016-05-21,724799668,3183,437.2
Australia and Oceania,Papua New Guinea,Cosmetics,2011-04-22,534633624,8825,437.2
Sub-Saharan Africa,Namibia,Beverages,2012-08-14,554045522,3237,47.45
Europe,Ireland,Clothes,2012-03-17,526834189,799,109.28
Sub-Saharan Africa,Mozambique,Household,2010-08-06,717110955,7922,668.27
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,2013-02-25,559299647,8049,255.28
North America,United States of America,Meat,2011-03-06,908136594,6654,421.89
Middle East and North Africa,Azerbaijan,Office Supplies,2015-12-14,888670623,6240,651.21
Europe,Belgium,Office Supplies,2017-02-10,146263062,1345,651.21
Asia,Taiwan,Office Supplies,2016-09-20,196587741,3536,651.21
Central America and the Caribbean,Panama,Baby Food,2010-04-30,375630986,6411,255.28
Europe,Andorra,Beverages,2013-06-25,989691627,600,47.45
Europe,Georgia,Household,2012-07-04,165380990,8765,668.27
Central America and the Caribbean,Barbados,Snacks,2013-09-21,599622905,597,152.58
Europe,Sweden,Personal Care,2016-12-08,109653699,7821,81.73
Middle East and North Africa,Algeria,Meat,2011-09-02,183022201,9191,421.89
Europe,Italy,Personal Care,2011-03-21,127589738,5494,81.73
Europe,Russia,Fruits,2011-01-08,221530139,4546,9.33
Central America and the Caribbean,"Antigua and Barbuda ",Office Supplies,2015-02-22,363329732,6197,651.21
Middle East and North Africa,Jordan,Fruits,2017-05-15,521787345,7325,9.33
Sub-Saharan Africa,Mali,Meat,2012-07-14,286014306,6844,421.89
Middle East and North Africa,Somalia,Cereal,2015-06-25,215434443,694,205.7
Middle East and North Africa,Kuwait,Snacks,2011-10-26,489784085,6850,152.58
Sub-Saharan Africa,Liberia,Office Supplies,2014-09-24,459112060,316,651.21
Asia,China,Office Supplies,2015-09-30,893779695,8128,651.21
Europe,Andorra,Meat,2011-03-31,834460818,4355,421.89
Sub-Saharan Africa,Niger,Beverages,2013-10-25,742141759,5093,47.45
Europe,Hungary,Vegetables,2010-08-12,248121345,3475,154.06
Europe,Monaco,Clothes,2012-07-26,404010903,4659,109.28
Australia and Oceania,Tuvalu,Household,2012-09-30,531734263,840,668.27
Sub-Saharan Africa,South Sudan,Baby Food,2012-11-09,473527753,6240,255.28
Europe,Cyprus,Cereal,2011-11-19,141940200,2114,205.7
Europe,Poland,Household,2017-06-09,869832932,1749,668.27
Sub-Saharan Africa,Liberia,Snacks,2011-09-17,460379779,5462,152.58
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,2015-10-23,837067067,5602,154.06
Asia,Kyrgyzstan,Beverages,2010-04-03,393693625,1547,47.45
Europe,Slovakia,Vegetables,2014-07-03,744370782,4711,154.06
Asia,Malaysia,Cosmetics,2014-12-30,873522365,3534,437.2
Sub-Saharan Africa,Liberia,Beverages,2014-05-19,285884702,8491,47.45
Australia and Oceania,Vanuatu,Cosmetics,2012-08-04,356506621,7086,437.2
Australia and Oceania,Kiribati,Baby Food,2010-08-15,280749452,8856,255.28
Middle East and North Africa,Turkey,Baby Food,2014-04-26,224287021,368,255.28
Europe,San Marino,Fruits,2015-06-10,873105657,221,9.33
Europe,Vatican City,Snacks,2010-08-12,283504188,4044,152.58
Middle East and North Africa,Morocco,Beverages,2012-08-28,632093942,9499,47.45
Sub-Saharan Africa,Equatorial Guinea,Meat,2016-07-15,565798747,1277,421.89
Middle East and North Africa,Jordan,Vegetables,2010-09-14,151854932,6104,154.06
Asia,Kyrgyzstan,Vegetables,2011-03-07,427811324,7733,154.06
Sub-Saharan Africa,Republic of the Congo,Fruits,2012-04-30,251529252,1950,9.33
Australia and Oceania,East Timor,Snacks,2013-05-18,351182544,1574,152.58
Europe,Estonia,Meat,2014-08-10,175257527,1452,421.89
Asia,Bangladesh,Snacks,2013-07-31,142553031,3465,152.58
Sub-Saharan Africa,Senegal,Fruits,2016-07-02,292180383,1523,9.33
Middle East and North Africa,Pakistan,Fruits,2011-09-13,733563411,6569,9.33
Europe,Czech Republic,Beverages,2011-04-18,296438443,1578,47.45
Sub-Saharan Africa,Ghana,Meat,2017-02-09,580854308,6552,421.89
Asia,Japan,Cosmetics,2016-11-20,107172334,3530,437.2
Asia,Kazakhstan,Baby Food,2010-10-16,166066348,1578,255.28
Central America and the Caribbean,The Bahamas,Snacks,2015-03-15,768522679,1794,152.58
Sub-Saharan Africa,Ethiopia,Household,2013-06-25,195840156,2309,668.27
Sub-Saharan Africa,Burkina Faso,Cosmetics,2012-10-11,849630105,3284,437.2
Sub-Saharan Africa,Madagascar,Fruits,2017-07-08,701816356,1910,9.33
Europe,Netherlands,Office Supplies,2010-06-22,944635236,7413,651.21
Europe,Greece,Vegetables,2017-02-17,140635573,6046,154.06
Middle East and North Africa,Egypt,Meat,2011-01-14,972678697,6096,421.89
Sub-Saharan Africa,South Sudan,Fruits,2016-01-09,793938434,2880,9.33
Europe,Kosovo,Baby Food,2011-07-18,177901113,3747,255.28
Asia,Brunei,Beverages,2012-03-16,668365561,3077,47.45
Australia and Oceania,Australia,Vegetables,2010-12-15,729443109,7281,154.06
Sub-Saharan Africa,Cape Verde,Fruits,2013-03-02,695557582,9800,9.33
Sub-Saharan Africa,Malawi,Household,2010-02-17,521445310,6110,668.27
Asia,Philippines,Personal Care,2013-02-19,232155120,8714,81.73
Europe,Estonia,Beverages,2011-10-28,373048341,2149,47.45
Central America and the Caribbean,Trinidad and Tobago,Office Supplies,2015-10-26,659798800,7982,651.21
Asia,Mongolia,Household,2013-02-05,428392827,9812,668.27
Asia,Japan,Personal Care,2011-08-25,885129249,8269,81.73
Sub-Saharan Africa,Niger,Meat,2012-12-04,156619393,6014,421.89
Middle East and North Africa,Egypt,Baby Food,2015-09-08,939787089,2739,255.28
Central America and the Caribbean,Saint Lucia,Vegetables,2012-03-01,151868665,168,154.06
Middle East and North Africa,Qatar,Cereal,2014-08-05,180412948,7055,205.7
Sub-Saharan Africa,Mali,Fruits,2013-07-24,333281266,4188,9.33
Central America and the Caribbean,Saint Lucia,Cosmetics,2012-01-26,888647449,9383,437.2
Sub-Saharan Africa,Swaziland,Clothes,2014-03-10,844997823,2488,109.28
Asia,Mongolia,Fruits,2013-09-12,171131217,385,9.33
Sub-Saharan Africa,Botswana,Office Supplies,2013-01-05,256158959,1983,651.21
Europe,San Marino,Cosmetics,2011-10-28,759504878,3226,437.2
Middle East and North Africa,Oman,Fruits,2010-11-21,960905301,2087,9.33
Asia,Bangladesh,Office Supplies,2015-10-28,210409057,3570,651.21
Sub-Saharan Africa,Namibia,Cosmetics,2010-07-29,178377473,4713,437.2
Asia,Mongolia,Fruits,2014-03-30,805484378,9582,9.33
Asia,North Korea,Beverages,2016-09-14,752716100,4276,47.45
Europe,Latvia,Clothes,2012-09-06,551371467,1925,109.28
Sub-Saharan Africa,Burundi,Snacks,2013-02-08,353061807,7689,152.58
Sub-Saharan Africa,"Seychelles ",Personal Care,2011-01-17,379710948,3762,81.73
Sub-Saharan Africa,Kenya,Cereal,2015-10-11,473555219,4368,205.7
Sub-Saharan Africa,Benin,Office Supplies,2011-02-21,547143447,760,651.21
Central America and the Caribbean,Saint Lucia,Personal Care,2012-04-29,133336961,6225,81.73
Middle East and North Africa,Qatar,Meat,2016-08-30,635309588,1080,421.89
Sub-Saharan Africa,Mozambique,Beverages,2014-12-20,376547658,7675,47.45
Middle East and North Africa,Pakistan,Clothes,2010-06-28,450849997,5388,109.28
Asia,Taiwan,Personal Care,2015-02-06,672327935,5631,81.73
Central America and the Caribbean,Cuba,Cereal,2015-03-30,925405299,6847,205.7
Central America and the Caribbean,Cuba,Household,2013-07-28,714818418,9509,668.27
Europe,Russia,Beverages,2010-01-06,515616118,1122,47.45
Europe,Switzerland,Cereal,2013-02-20,423159730,1222,205.7
Europe,Czech Republic,Personal Care,2013-08-25,603123080,6377,81.73
Europe,Poland,Meat,2010-11-16,841492497,5185,421.89
Sub-Saharan Africa,"Mauritius ",Cereal,2016-08-02,994566810,3275,205.7
Middle East and North Africa,Pakistan,Vegetables,2013-04-25,538957345,8310,154.06
Sub-Saharan Africa,South Africa,Fruits,2011-03-02,821587932,4981,9.33
Sub-Saharan Africa,"Seychelles ",Household,2013-09-28,109694898,13,668.27
Sub-Saharan Africa,Benin,Meat,2014-05-05,340827071,7159,421.89
Sub-Saharan Africa,Benin,Meat,2014-11-28,372845780,2207,421.89
Central America and the Caribbean,Nicaragua,Fruits,2014-08-30,933924853,7973,9.33
Middle East and North Africa,Lebanon,Office Supplies,2013-11-20,572550618,9306,651.21
Europe,"Moldova ",Meat,2010-02-23,607521903,8086,421.89
Middle East and North Africa,"Tunisia ",Snacks,2017-03-20,177950036,8225,152.58
Australia and Oceania,Vanuatu,Beverages,2015-11-08,293258845,664,47.45
Sub-Saharan Africa,South Sudan,Beverages,2010-08-09,683184659,8377,47.45
Europe,Sweden,Cereal,2010-11-12,247776305,1370,205.7
Europe,Ireland,Meat,2011-12-14,207395112,1677,421.89
Europe,Italy,Vegetables,2014-01-10,952714908,8367,154.06
Europe,Bosnia and Herzegovina,Vegetables,2010-10-03,694722020,2539,154.06
Europe,Bosnia and Herzegovina,Household,2015-10-15,414715278,2321,668.27
Europe,Poland,Snacks,2013-07-20,714306008,7876,152.58
Middle East and North Africa,Kuwait,Snacks,2016-01-19,465418040,6396,152.58
Sub-Saharan Africa,Sudan,Cereal,2013-08-17,860287702,7103,205.7
Middle East and North Africa,Saudi Arabia,Vegetables,2016-08-16,461463820,6254,154.06
Sub-Saharan Africa,Swaziland,Baby Food,2013-09-25,151807725,2134,255.28
Sub-Saharan Africa,Rwanda,Meat,2013-08-21,884493243,61,421.89
Asia,Cambodia,Cosmetics,2010-12-10,533006703,7383,437.2
Sub-Saharan Africa,Central African Republic,Vegetables,2012-09-04,641146934,8480,154.06
Asia,Maldives,Cosmetics,2011-10-15,573025262,9764,437.2
Sub-Saharan Africa,Djibouti,Household,2013-08-26,663065516,4676,668.27
Asia,Tajikistan,Beverages,2017-02-17,866004025,8691,47.45
Asia,Sri Lanka,Baby Food,2010-10-19,306889617,4312,255.28
Europe,Montenegro,Personal Care,2014-07-30,431083619,6077,81.73
Middle East and North Africa,United Arab Emirates,Personal Care,2015-05-21,954259860,5553,81.73
Central America and the Caribbean,Dominican Republic,Personal Care,2016-05-05,312404668,6338,81.73
Sub-Saharan Africa,"Seychelles ",Office Supplies,2010-04-14,611816871,9063,651.21
Europe,Iceland,Office Supplies,2013-10-26,879107797,6388,651.21
Sub-Saharan Africa,Nigeria,Vegetables,2010-07-21,211201274,8005,154.06
Sub-Saharan Africa,Rwanda,Fruits,2015-06-09,925333631,5639,9.33
Europe,Hungary,Snacks,2010-06-03,909053695,8044,152.58
Europe,Belarus,Baby Food,2016-05-17,370222795,6007,255.28
Sub-Saharan Africa,South Sudan,Cosmetics,2013-08-03,487014758,7344,437.2
Europe,Andorra,Vegetables,2013-09-15,257915914,1905,154.06
Asia,Japan,Meat,2010-07-02,551725089,6569,421.89
Central America and the Caribbean,El Salvador,Meat,2013-12-18,957553613,248,421.89
Sub-Saharan Africa,Kenya,Office Supplies,2016-03-19,234825313,8883,651.21
Europe,Bosnia and Herzegovina,Snacks,2010-06-09,363276517,449,152.58
Europe,Andorra,Personal Care,2017-05-21,692956054,9950,81.73
Sub-Saharan Africa,Cape Verde,Cosmetics,2013-06-12,194225251,4423,437.2
Australia and Oceania,Nauru,Fruits,2010-02-22,607757937,7934,9.33
Europe,Czech Republic,Cereal,2012-06-29,594540441,6583,205.7
Europe,Serbia,Vegetables,2015-03-23,685871589,3500,154.06
Australia and Oceania,Tuvalu,Cereal,2014-02-12,133362710,3844,205.7
Sub-Saharan Africa,Madagascar,Clothes,2017-05-22,958937633,9810,109.28
Sub-Saharan Africa,Ethiopia,Vegetables,2011-08-06,304832684,5620,154.06
Asia,Malaysia,Baby Food,2010-11-14,783596694,2530,255.28
Sub-Saharan Africa,Tanzania,Household,2015-04-05,128090989,3825,668.27
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,2014-07-08,641489398,9823,154.06
Australia and Oceania,Solomon Islands,Clothes,2014-08-09,647278249,2873,109.28
Europe,Netherlands,Clothes,2011-03-13,339256370,2354,109.28
Sub-Saharan Africa,Mali,Baby Food,2016-03-02,431535089,9677,255.28
Middle East and North Africa,Afghanistan,Cereal,2015-12-19,808538234,3286,205.7
Europe,"Moldova ",Personal Care,2013-03-28,975002133,3653,81.73
Asia,Bhutan,Snacks,2015-06-27,505975615,8283,152.58
Asia,Vietnam,Vegetables,2016-02-18,396820008,6714,154.06
Europe,Portugal,Vegetables,2013-06-14,813209140,5511,154.06
Europe,Spain,Baby Food,2014-05-10,641129338,3273,255.28
Middle East and North Africa,Egypt,Meat,2015-06-17,636879432,5632,421.89
Europe,Belgium,Snacks,2014-06-11,277070748,246,152.58
Asia,Malaysia,Cosmetics,2013-11-03,908627116,1810,437.2
Central America and the Caribbean,Dominican Republic,Cosmetics,2017-04-02,798784863,7047,437.2
Europe,Estonia,Beverages,2010-05-28,985092818,9711,47.45
Sub-Saharan Africa,Burundi,Snacks,2010-05-22,325412309,5588,152.58
Europe,Latvia,Beverages,2016-06-02,447917163,7497,47.45
Asia,Tajikistan,Meat,2013-08-22,801093709,285,421.89
Sub-Saharan Africa,Zimbabwe,Fruits,2014-10-05,903740775,5833,9.33
Sub-Saharan Africa,Comoros,Meat,2010-10-31,794969689,8052,421.89
Sub-Saharan Africa,Namibia,Clothes,2012-11-27,584204280,7884,109.28
Europe,Slovenia,Cereal,2010-05-22,901180875,8302,205.7
Europe,Bulgaria,Snacks,2012-08-31,645948302,9312,152.58
Sub-Saharan Africa,Guinea-Bissau,Cereal,2015-01-23,138867890,2950,205.7
Sub-Saharan Africa,Lesotho,Beverages,2010-03-02,670613467,8282,47.45
Asia,Sri Lanka,Cosmetics,2014-05-09,452171361,6409,437.2
Australia and Oceania,East Timor,Snacks,2010-12-28,464840400,5459,152.58
Europe,Belarus,Household,2014-10-19,410231912,5594,668.27
Sub-Saharan Africa,Benin,Meat,2015-01-21,960269725,4006,421.89
Europe,Ireland,Beverages,2017-04-04,607190167,9919,47.45
Middle East and North Africa,Iran,Meat,2016-08-05,613542068,9587,421.89
Sub-Saharan Africa,Benin,Household,2016-11-26,962186753,1297,668.27
Sub-Saharan Africa,South Sudan,Beverages,2011-09-23,806298053,366,47.45
Sub-Saharan Africa,Comoros,Personal Care,2010-10-24,719362294,4144,81.73
Europe,Poland,Baby Food,2013-08-14,445178306,7008,255.28
Europe,Bosnia and Herzegovina,Cosmetics,2013-02-04,247857415,5372,437.2
Sub-Saharan Africa,Namibia,Vegetables,2014-08-11,461823451,2677,154.06
Europe,Spain,Office Supplies,2017-01-12,141812741,4396,651.21
Middle East and North Africa,Iran,Meat,2016-07-03,212874114,3036,421.89
Central America and the Caribbean,Guatemala,Office Supplies,2010-03-27,320368897,3131,651.21
Australia and Oceania,East Timor,Beverages,2015-06-05,179970920,6249,47.45
Middle East and North Africa,Bahrain,Household,2012-06-27,927666509,5990,668.27
Sub-Saharan Africa,Ethiopia,Office Supplies,2016-12-19,169754493,2982,651.21
Australia and Oceania,Solomon Islands,Personal Care,2015-03-09,532846200,9886,81.73
Central America and the Caribbean,Belize,Snacks,2013-06-18,213865458,6397,152.58
Asia,Sri Lanka,Office Supplies,2011-08-12,630048596,4236,651.21
Central America and the Caribbean,Costa Rica,Clothes,2014-04-17,568944442,2158,109.28
Sub-Saharan Africa,Nigeria,Baby Food,2012-02-03,238414323,951,255.28
Middle East and North Africa,Iran,Office Supplies,2015-08-01,816632068,8431,651.21
Sub-Saharan Africa,Djibouti,Baby Food,2013-09-11,402084004,4447,255.28
Asia,South Korea,Snacks,2015-05-08,763568961,5879,152.58
Central America and the Caribbean,Dominica,Snacks,2015-05-22,590198266,1637,152.58
Asia,Vietnam,Snacks,2013-07-03,441395747,7665,152.58
Europe,Norway,Personal Care,2010-06-16,496897733,1936,81.73
Central America and the Caribbean,Haiti,Beverages,2011-11-08,106753051,9455,47.45
Central America and the Caribbean,Jamaica,Fruits,2016-10-17,941323029,7258,9.33
Sub-Saharan Africa,Sudan,Vegetables,2014-02-02,241281497,9412,154.06
Sub-Saharan Africa,Angola,Meat,2016-04-30,267614781,2016,421.89
Central America and the Caribbean,Panama,Cosmetics,2010-08-31,651621711,8200,437.2
Europe,Greece,Personal Care,2015-08-08,644913613,3124,81.73
Sub-Saharan Africa,Madagascar,Cereal,2016-08-18,469414317,8983,205.7
Sub-Saharan Africa,Guinea-Bissau,Clothes,2015-06-18,867360150,9998,109.28
North America,Greenland,Clothes,2011-01-28,851299941,7425,109.28
Middle East and North Africa,Libya,Beverages,2011-02-04,854095017,4550,47.45
Europe,Belarus,Vegetables,2012-11-03,478919208,1691,154.06
Middle East and North Africa,Lebanon,Clothes,2014-09-18,749258840,1196,109.28
Sub-Saharan Africa,Djibouti,Baby Food,2012-05-17,958912742,2444,255.28
Central America and the Caribbean,Barbados,Personal Care,2010-02-20,921992242,6848,81.73
Sub-Saharan Africa,Guinea-Bissau,Vegetables,2017-02-28,522921168,2849,154.06
Europe,Finland,Personal Care,2013-05-17,166435849,921,81.73
Central America and the Caribbean,Haiti,Baby Food,2013-11-09,327585113,8569,255.28
Sub-Saharan Africa,Niger,Clothes,2012-01-10,201730287,5330,109.28
Central America and the Caribbean,Trinidad and Tobago,Fruits,2013-09-24,854545199,7769,9.33
Central America and the Caribbean,Grenada,Personal Care,2010-09-26,272016179,4487,81.73
Central America and the Caribbean,Dominican Republic,Cereal,2014-10-21,110442054,1113,205.7
Europe,Monaco,Household,2016-01-17,746434152,5308,668.27
Europe,Estonia,Vegetables,2016-12-27,826916301,1764,154.06
Europe,Italy,Beverages,2013-08-30,419124829,7206,47.45
Asia,Malaysia,Office Supplies,2014-07-07,560608565,5387,651.21
Sub-Saharan Africa,Ghana,Office Supplies,2013-11-29,109228837,2095,651.21
Middle East and North Africa,Pakistan,Clothes,2011-01-29,693159472,146,109.28
Asia,Sri Lanka,Snacks,2013-11-13,860886800,4390,152.58
Europe,Romania,Fruits,2012-04-09,131209647,6705,9.33
Middle East and North Africa,Qatar,Office Supplies,2012-06-28,343239343,1004,651.21
Sub-Saharan Africa,Cote d'Ivoire,Clothes,2010-06-08,706399714,8228,109.28
Middle East and North Africa,Egypt,Office Supplies,2010-08-23,950427091,1352,651.21
Middle East and North Africa,Iran,Snacks,2014-12-11,875370299,379,152.58
Middle East and North Africa,Somalia,Clothes,2011-01-27,801590669,7347,109.28
Middle East and North Africa,Syria,Personal Care,2014-05-07,219762027,1322,81.73
Australia and Oceania,Solomon Islands,Cereal,2010-11-08,940870702,3404,205.7
Central America and the Caribbean,Guatemala,Fruits,2014-03-30,346215522,1721,9.33
Middle East and North Africa,Kuwait,Clothes,2016-07-09,837407815,6436,109.28
Middle East and North Africa,Jordan,Meat,2014-07-15,386371409,4741,421.89
Australia and Oceania,Marshall Islands,Beverages,2013-10-14,185342633,5859,47.45
Middle East and North Africa,Egypt,Snacks,2017-01-13,596870315,6045,152.58
Europe,Switzerland,Meat,2012-12-22,703815782,3585,421.89
Australia and Oceania,"Samoa ",Personal Care,2010-04-16,559352862,3797,81.73
Europe,Portugal,Cosmetics,2011-02-27,736967885,4029,437.2
Europe,Albania,Clothes,2015-01-14,980459678,8661,109.28
Central America and the Caribbean,Dominica,Vegetables,2014-11-16,653939568,4105,154.06
Australia and Oceania,Tuvalu,Cosmetics,2016-01-17,991831386,3803,437.2
Australia and Oceania,Marshall Islands,Cereal,2017-05-29,148871457,3227,205.7
Europe,Bulgaria,Fruits,2015-02-10,850108611,4884,9.33
Sub-Saharan Africa,Niger,Office Supplies,2013-12-08,940904176,3309,651.21
Central America and the Caribbean,Saint Vincent and the Grenadines,Office Supplies,2015-12-10,136931979,70,651.21
Sub-Saharan Africa,Malawi,Beverages,2016-09-04,474178349,8766,47.45
Sub-Saharan Africa,Cape Verde,Personal Care,2016-07-19,458942115,25,81.73
